time,Label,author,title,summary,description,article_text,url
"March 30, 2020 09:38 AM IST",-1,Rakesh Patil,Tata Power commences hydro power project in Georgia; share price down 3%,"Tata Power's joint venture has commenced a hydropower project in Georgia.
Adjaristsqali Georgia LLC (AGL), a joint venture between Tata Power, Norway's Clean Energy Invest (CEI) and International Finance Corporation (IFC) announced the start of commercial operation of the 178 MW Shuakhevi Hydro Power Project (Shuakhevi HPP) located in southwest Georgia, as per company release.
Tata Power holds 40 percent shares in the joint venture.
The successful completion and start of commercial operations are considered crucial for the integrity, security and energy independence of Georgia.
At 09:27 hrs, Tata Power Company was quoting at Rs 33.20, down Rs 0.75, or 2.21 percent on the BSE.",Tata Power holds 40 percent shares in the joint venture.,"Tata Power's joint venture has commenced a hydropower project in Georgia.

The scrip slipped 3 percent on March 30.

Adjaristsqali Georgia LLC (AGL), a joint venture between Tata Power, Norway's Clean Energy Invest (CEI) and International Finance Corporation (IFC) announced the start of commercial operation of the 178 MW Shuakhevi Hydro Power Project (Shuakhevi HPP) located in southwest Georgia, as per company release.

Tata Power holds 40 percent shares in the joint venture.

The successful completion and start of commercial operations are considered crucial for the integrity, security and energy independence of Georgia.

The power generated by the project will be exclusively sold within Georgia throughout the winter which is a period of energy deficit in that country, it added.

At 09:27 hrs, Tata Power Company was quoting at Rs 33.20, down Rs 0.75, or 2.21 percent on the BSE.",https://www.moneycontrol.com/news/business/stocks/tata-power-commences-hydro-power-project-in-georgia-share-price-down-3-5085791.html
"March 30, 2020 01:51 PM IST",1,Sunil Matkar,"BPCL, HPCL rally 3-4% as Morgan Stanley sees tailwinds for refiners","Hindustan Petroleum Corporation (HPCL) and Bharat Petroleum Corporation (BPCL) rallied 2.6 percent and 3.7 percent, respectively, intraday on March 30 after Morgan Stanley said both were its top picks.
Hence we have overweight rating on IOC, BPCL and HPCL,"" said the global brokerage.
Morgan Stanley though cut its price target on IOC to Rs 127 (from Rs 136 per share), BPCL to Rs 517 (from Rs 550) and HPCL to Rs 246 (from Rs 283).
The fall in oil prices was a major supportive factor for refiners as it is the raw material for them.
HPCL was trading 0.47 percent higher at Rs 170.60, BPCL up 1.56 percent at Rs 283.25 and IOC up 0.26 percent at Rs 77.15 on the BSE at 13.30 hours IST.",Overall oil prices corrected nearly 68 percent from its 2020 highs seen in early January.,"Hindustan Petroleum Corporation (HPCL) and Bharat Petroleum Corporation (BPCL) rallied 2.6 percent and 3.7 percent, respectively, intraday on March 30 after Morgan Stanley said both were its top picks. IOC also gained 1.75 percent.

""We see significant tailwinds for refiners beyond the challenges of the shutdown. Hence we have overweight rating on IOC, BPCL and HPCL,"" said the global brokerage.

However, the lockdown would result in a 6-9 percent impact to FY21 earnings, it added.

Morgan Stanley though cut its price target on IOC to Rs 127 (from Rs 136 per share), BPCL to Rs 517 (from Rs 550) and HPCL to Rs 246 (from Rs 283).

The fall in oil prices was a major supportive factor for refiners as it is the raw material for them. International benchmark Brent crude futures dropped 8.7 percent to $22.76 a barrel today, the lowest level since October 2002.

Oil prices have corrected nearly 68 percent from its 2020 highs seen in early January.

HPCL was trading 0.47 percent higher at Rs 170.60, BPCL up 1.56 percent at Rs 283.25 and IOC up 0.26 percent at Rs 77.15 on the BSE at 13.30 hours IST.

: The above report is compiled from information available on public platforms. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/bpcl-hpcl-rally-3-4-as-morgan-stanley-sees-tailwinds-for-refiners-5086821.html
"March 30, 2020 10:47 AM IST",1,Kshitij Anand,High-dividend stocks seem safe bet in times of uncertainty; which one should you buy?,"Low-interest rate regime along with high volatility in the equity market make high dividend-yielding stocks a better bet, suggest experts.
Dividend stocks usually do not get into a free fall, and outperform most of the time.
Top high dividend-yielding stocks according to an HDFC Securities report are Vedanta, Oil India, Balmer Lawrie, REC, ONGC, DB Corp, HEG, SJVN, IOC, PTC India, and NLC India.
Dividend yield (%) is the dividend per share paid by a company (on annual basis) divided by the price of that particular company/stock.
Investment in high dividend yield stocks is often seen as a way of safeguarding your investments in case of low capital appreciation as it provides consistent income.",Most of these high dividend-paying companies have healthy cash reserves which could be utilized for paying dividends in difficult times as well when the core businesses get impacted.,"Low-interest rate regime along with high volatility in the equity market make high dividend-yielding stocks a better bet, suggest experts.

Dividend stocks usually do not get into a free fall, and outperform most of the time. Most of these stocks have now corrected in double digits and investors can look at select stocks for the long term, suggest experts.

Top high dividend-yielding stocks according to an HDFC Securities report are Vedanta, Oil India, Balmer Lawrie, REC, ONGC, DB Corp, HEG, SJVN, IOC, PTC India, and NLC India. These stocks have a dividend yield of more than 10 percent.

What is the dividend yield?

Dividend yield (%) is the dividend per share paid by a company (on annual basis) divided by the price of that particular company/stock.

“We believe investing some of the corpus in high dividend-yield paying companies with strong fundamentals can cushion investors' portfolios in case of an event of a fall but only to an extent,” Ajit Mishra, VP Research, Religare Broking told Moneycontrol.

“Most of these high dividend-paying companies have healthy cash reserves which could be utilized for paying dividends in difficult times as well when the core businesses get impacted,” he said.

Mishra further added that many of these stocks like Oil India and REC have decent fundamentals and therefore can be considered for long-term, assuming that these companies will continue with the current dividend rate.

India market plunged by about 30 percent since January 30 when benchmark indices hit a fresh record high amid the outbreak of COVID-19. The volatility as measured by India VIX has surpassed levels seen during the 2008 global financial crisis.

As many as 24 constituent companies in the Nifty have announced interim dividends so far in the year, according to a media report, as compared to 15 in the year-ago period.

Markets are in grip of risk aversion due to the spread of coronavirus pandemic. Post the Rs 1.7 lakh cr stimulus unveiled by the finance minister, expectations ate running high from the Reserve Bank of India to slash interest rates by 25-50 bps.

“High dividend yield stocks are worth investing in wake of falling interest rate scenario, but it must be remembered that only those high dividend-yielding stocks which have given the capital appreciation in recent past should be looked into,” Pankaj Bobade, Fundamental Research head, Axis Securities Limited told Moneycontrol.

“There have been instances of loss of invested capital, hence the investor must ensure that he should not end up into value trap in pursuit of high dividend,” he said. Bobade further added that investors should check the source of cash used for a dividend to ensure that the business generates sufficient cash for dividend distribution.

What should investors do now?

Investment in high dividend yield stocks is often seen as a way of safeguarding your investments in case of low capital appreciation as it provides consistent income. However, in case of an economic downturn only select few are better bets.

“Investors should analyze the components of dividend yield relatively i.e. the movement in the yield is not caused due to change in one single component,” Gaurav Garg, Head of Research at CapitalVia Global Research Limited- Investment Advisor told Moneycontrol.

“In normal circumstances, high dividend-yielding stocks are a great choice however during the price drop or economic recession companies may reduce the dividend or stop it altogether. Therefore it is quite unlikely that it will provide significant cushion to investor's portfolio,” he said.

Mishra of Religare Broking said that in a volatile market scenario, where most of these stocks are trading at a 52-week low, the dividend yield of the stocks has increased and is currently higher than the prevailing interest rate.

: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/high-dividend-stocks-seem-safe-bet-in-times-of-uncertainty-which-one-should-you-buy-5077231.html
"March 30, 2020 08:19 AM IST",-2,,"A comparison of the 2000 tech bubble, the financial crisis of 2008 and the 2020 Coronavirus crash","Investors fear that the supply chain disruption will squeeze liquidity out of the system and pop the numerous bubbles - the global equity and debt market, tech start-ups, real estate and shale energy - that have developed in the last decade.
@moneycontrolcom Sachin Pal","Investors fear that the supply chain disruption will squeeze liquidity out of the system and pop the numerous bubbles - the global equity and debt market, tech start-ups, real estate and shale energy - that have developed in the last decade.","Investors fear that the supply chain disruption will squeeze liquidity out of the system and pop the numerous bubbles - the global equity and debt market, tech start-ups, real estate and shale energy - that have developed in the last decade.

@moneycontrolcom Sachin Pal",https://www.moneycontrol.com/news/business/moneycontrol-research/a-comparison-of-the-2000-tech-bubble-the-financial-crisis-of-2008-and-the-2020-coronavirus-crash-5085001.html
"March 30, 2020 11:16 AM IST",-2,Sandip Das,Hero Moto share price falls 6% on report of suppliers' payment suspension,"Amid the coronavirus lockdown, Hero MotoCorp has suspended full payments to suppliers since sales have paused and there is “no visibility of receivables,” according to a report by The Economic Times.
Also read: Hero MotoCorp suspends full payments to suppliers: ReportThe two-wheeler manufacturer's dealerships will be closed till April 14 due to a 21-day nationwide lockdown to contain the spread of COVID-19.
Hero MotoCorp told suppliers that several BS-IV AND BS-VI vehicles were unsold at the dealerships, the report said.
Hero MotoCorp has the highest share of the total 700,000 unsold BS-IV scooters and motorcycles in India, the report said.
In a report on March 16, Kota Institutional Equities upgraded Hero MotoCorp to “add” from a “sell”.","Hero MotoCorp has suspended full payments to suppliers since sales have paused and there is “no visibility of receivables,” according to a report.","The share price of motorcycle and scooter manufacturing company Hero MotoCorp fell 6 percent intraday on March 30 after the company decided to halt operations till March 31, 2020, at all its manufacturing plants globally to maintain the health and well‐being of employees, due to escalating COVID‐19 situation.

Amid the coronavirus lockdown, Hero MotoCorp has suspended full payments to suppliers since sales have paused and there is “no visibility of receivables,” according to a report by The Economic Times.

Moneycontrol could not independently verify the story.

Also read: Hero MotoCorp suspends full payments to suppliers: Report

The two-wheeler manufacturer's dealerships will be closed till April 14 due to a 21-day nationwide lockdown to contain the spread of COVID-19. Hero MotoCorp told suppliers that several BS-IV AND BS-VI vehicles were unsold at the dealerships, the report said.

Hero MotoCorp has the highest share of the total 700,000 unsold BS-IV scooters and motorcycles in India, the report said.

“Despite the challenging circumstances... we are prioritizing payments process to make full and on-time payments to a large number of MSMEs and small vendors,” the company said in an email to The Economic Times.

In a report on March 16, Kota Institutional Equities upgraded Hero MotoCorp to “add” from a “sell”. The brokerage firm has fixed the fair value of the stock at Rs 2,150, a 20 percent upside from the current market price.

""We upgrade the stock to 'add' from 'sell' on attractive valuations (11 times FY22E core EPS). While the catalysts for near- term growth are absent due to impact on consumption because of Covid-19 and shift to BS-VI norms from April 2020, we believe growth will resume for the company from the second half of FY21 led by a revival in rural demand,"" Kotak said.

The share price shed over 43 percent in the last 6 months and was quoting at Rs 1,550.00, down Rs 110.15, or 6.63 percent. It has touched an intraday high of Rs 1,655.00 and an intraday low of Rs 1,550.

It was trading with volumes of 31,277 shares, compared to its five day average of 41,402 shares, a decrease of -24.45 percent.

: The above report is compiled from information available on public platforms. Moneycontrol advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/hero-moto-share-price-falls-3-on-report-of-suppliers-payment-suspension-5086181.html
"March 30, 2020 10:14 AM IST",-2,Sandip Das,"Godfrey Phillips suspends operations, share price falls 3%","The share price of Godfrey Phillips India slipped over 3 percent in the morning trade on March 30 after the tobacco manufacturing company said it was suspending operations at all its units.
Terming the current situation as extraordinary, Godfrey Phillips India (GPI) CEO Bhisham Wadhera said the company was prepared to take a hit for four weeks on its business.
""As an organisation what is of utmost importance to us is our employees' health and safety.
The stock, which gained 16 percent in the last 5 days, was quoting at Rs 899, down Rs 23.15, or 2.51 percent.
It was trading with volumes of 1,041 shares, compared to its five-day average of 10,667 shares, a decrease of 90.24 percent.",Godfrey Phillips India CEO Bhisham Wadhera said the company was prepared to take a hit to its business to protect its employees.,"The share price of Godfrey Phillips India slipped over 3 percent in the morning trade on March 30 after the tobacco manufacturing company said it was suspending operations at all its units.

""We would like to inform that in the wake of the COVID-19 pandemic, the company is taking various measures to ensure the safety and well being of all employees and is ensuring compliance with the directives issued by the Central Government, State Governments and local administration in this regard… the company has suspended operations at all its factories and plant locations,” it said in a filing to the exchanges.

Terming the current situation as extraordinary, Godfrey Phillips India (GPI) CEO Bhisham Wadhera said the company was prepared to take a hit for four weeks on its business.

""As an organisation what is of utmost importance to us is our employees' health and safety. In fact about 10 days ago, we announced work from home just to ensure that nobody gets exposed, much before the lockdown,"" Wadhera told PTI.

The stock, which gained 16 percent in the last 5 days, was quoting at Rs 899, down Rs 23.15, or 2.51 percent. It was trading with volumes of 1,041 shares, compared to its five-day average of 10,667 shares, a decrease of 90.24 percent.",https://www.moneycontrol.com/news/business/markets/godfrey-phillips-suspends-operations-share-price-falls-3-5086041.html
"March 30, 2020 11:37 AM IST",-2,Sunil Matkar,"Sun Pharma share falls 7% on USFDA red flag, but pares all losses","Shares of Sun Pharmaceutical Industries fell 6.75 percent in early trade after the US health regulator raised red flat on company's Halol facility, but the stock gradually recouped those losses to trade volatile.
It was trading at Rs 339.30, up Rs 1.15 or 0.34 percent after hitting a day's high of Rs 341.90 and low of Rs 315.3.
However, its subsidiary Sun Pharma Advanced Research Company was down Rs 1.95 or 2.06 percent at Rs 92.50.
The pharma company in its BSE filing on March 29 said it had received a communication from the US Food and Drug Administration (USFDA) indicating that the Halol facility has been classified as 'Official Action Indicated' (OAI).
The USFDA had inspected Halol (Gujarat) facility during December 3-13 and issued Form 483 with eight observations.","CLSA reiterated buy rating on the stock, though it slashed price target Rs 520 (from Rs 540 per share) on expected lower earnings.","Shares of Sun Pharmaceutical Industries fell 6.75 percent in early trade after the US health regulator raised red flat on company's Halol facility, but the stock gradually recouped those losses to trade volatile.

It was trading at Rs 339.30, up Rs 1.15 or 0.34 percent after hitting a day's high of Rs 341.90 and low of Rs 315.3. However, its subsidiary Sun Pharma Advanced Research Company was down Rs 1.95 or 2.06 percent at Rs 92.50.

The pharma company in its BSE filing on March 29 said it had received a communication from the US Food and Drug Administration (USFDA) indicating that the Halol facility has been classified as 'Official Action Indicated' (OAI).

The OAI classification implies interalia that the USFDA may withhold approval of any pending product applications or supplements filed from this facility till the outstanding observations are resolved.

The company said it continued to manufacture and distribute existing products for the US market, thereby not likely to have any adverse impact on current business from the facility.

The USFDA had inspected Halol (Gujarat) facility during December 3-13 and issued Form 483 with eight observations.

""Sun Pharma continues to cooperate with the USFDA and will undertake all necessary steps to resolve these issues and to ensure that the regulator is completely satisfied with the company's remedial action,"" the company said.

Hence, the global brokerage house CLSA cut its FY21-22 EPS estimates by 4 percent. ""No approvals from Halol led us to cut our US sales estimate by 3 percent.""

Despite this, the research house found risk-reward attractive as valuations largely reflected higher security and growth visibility of India business.

Hence, CLSA reiterated buy rating on the stock, though it slashed price target Rs 520 (from Rs 540 per share) on expected lower earnings.

: The above report is compiled from information available on public platforms. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/sun-pharma-share-falls-7-on-usfda-red-flag-but-pares-all-losses-5086231.html
"March 30, 2020 12:08 PM IST",-2,Sandip Das,D-Street Buzz: Banks under pressure after RBI nod for PSU bank merger; Tata Steel tanks 6%,"Among the sectors, Bank Nifty was down over 2 percent dragged by RBL Bank and YES Bank which shed over 4 percent each followed by HDFC Bank, Federal Bank, ICICI Bank, IDFC First Bank and Kotak Mahindra Bank.
The Reserve Bank of India on March 28, 2020 said it has approved the amalgamation of Oriental Bank of Commerce and United Bank of India into Punjab National Bank, Syndicate Bank into Canara Bank, Andhra Bank and Corporation Bank into Union Bank of India and Allahabad Bank into Indian Bank.
The scheme will come into force with effect from April 1, 2020 and all the branches of Oriental Bank of Commerce and United Bank of India will function as branches of PNB branches; Syndicate Bank branches into Canara Bank branches; Andhra Bank and Corporation Bank branches into Union Bank of India branches and Allahabad Bank branches into Indian Bank branches.
Indian Bank, Bank of Baroda, J&K Bank shed over 3 percent each while Central Bank of India, State Bank of India, Union Bank of India and Punjab National Bank were the other losers.
Metal stocks are also under pressure with the index down over 2 percent dragged by Tata Steel, JSW Steel and Jindal Steel & Power which fell 4-6 percent followed by Ratnamani Metal, Vedanta and Hindalco Industries.","Indian Bank, Bank of Baroda, J&K Bank shed over 3 percent each while Central Bank of India, State Bank of India, Union Bank of India and Punjab National Bank were the other losers.","The Indian stock market continues trading in the red following Asian peers but is off the day's low. Sensex is down 588.01 points or 1.97 percent at 29227.58, and the Nifty shed 160.30 points or 1.85 percent at 8499.95.

Among the sectors, Bank Nifty was down over 2 percent dragged by RBL Bank and YES Bank which shed over 4 percent each followed by HDFC Bank, Federal Bank, ICICI Bank, IDFC First Bank and Kotak Mahindra Bank.

The Reserve Bank of India on March 28, 2020 said it has approved the amalgamation of Oriental Bank of Commerce and United Bank of India into Punjab National Bank, Syndicate Bank into Canara Bank, Andhra Bank and Corporation Bank into Union Bank of India and Allahabad Bank into Indian Bank. The scheme will come into force with effect from April 1, 2020 and all the branches of Oriental Bank of Commerce and United Bank of India will function as branches of PNB branches; Syndicate Bank branches into Canara Bank branches; Andhra Bank and Corporation Bank branches into Union Bank of India branches and Allahabad Bank branches into Indian Bank branches. Following the consolidation, there will be seven large public sector banks and five smaller ones. There were as many as 27 PSBs in 2017, according to a report by CNBC-TV18.

RBI's statement comes after Finance Minister Nirmala Sitharaman's clarification on March 26 that the mega bank consolidation plan was very much on track and would take effect from April 1.

Indian Bank, Bank of Baroda, J&K Bank shed over 3 percent each while Central Bank of India, State Bank of India, Union Bank of India and Punjab National Bank were the other losers.

Nifty has been seeing erratic swings in a broader range and we do not see this changing any time soon. The range for the next week could be 7,600-9,500 levels. While mostly sectoral indices are trading in line with the benchmark index, defensive viz. FMCG, pharma and IT are looking comparatively stronger. Considering the scenario, traders should limit their positions and prefer only hedged trades, said Ajit Mishra, VP - Research at Religare Broking.

Metal stocks are also under pressure with the index down over 2 percent dragged by Tata Steel, JSW Steel and Jindal Steel & Power which fell 4-6 percent followed by Ratnamani Metal, Vedanta and Hindalco Industries.

India VIX is up 2.97 percent at 72.48 level.

The top gainers are Tech Mahindra, Axis Bank, GAIL India, Cipla and BPCL while the top losers included Bajaj Finance, Eicher Motors, HDFC, JSW Steel and Tata Steel.

About 769 shares have advanced, 1087 shares declined, and 110 shares are unchanged.",https://www.moneycontrol.com/news/business/markets/d-street-buzz-banks-under-pressure-after-rbi-nod-for-psu-bank-merger-tata-steel-tanks-6-5086351.html
"March 30, 2020 08:47 AM IST",0,Sandip Das,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitesh Thakkar for short term","Bears maintained their stronghold on the markets for the sixth consecutive week that ended on March 27.
However, benchmark indices underperformed their global peers as investors remained cautious over growth after a 21-day nationwide lockdown was announced earlier in the week to stop the spread of COVID-19.
While the BSE Sensex was down 100.37 points at 29,815.59, the Nifty50 dropped 85.20 points to 8,660.25.
The carnage was much worse in the broader markets as the Nifty Midcap and Smallcap indices plunged 7-8 percent.
Moneycontrol.com advises users to check with certified experts before taking any investment decisions.​","Sudarshan Sukhani of s2analytics.com recommends buying Bharti Airtel with a stop loss of Rs 440, target at Rs 465 and Cipla with a stop loss of Rs 400, target at Rs 415.","Bears maintained their stronghold on the markets for the sixth consecutive week that ended on March 27. It made some recovery after the Rs 1.7 lakh crore welfare package announced by the Finance Ministry and the Rs 3.7 lakh crore liquidity stimulus package from the Reserve Bank of India (RBI) soothed sentiment.

However, benchmark indices underperformed their global peers as investors remained cautious over growth after a 21-day nationwide lockdown was announced earlier in the week to stop the spread of COVID-19.

While the BSE Sensex was down 100.37 points at 29,815.59, the Nifty50 dropped 85.20 points to 8,660.25. The carnage was much worse in the broader markets as the Nifty Midcap and Smallcap indices plunged 7-8 percent.

In an interview to CNBC-TV18, top market experts recommend which stocks to bet on for good returns:

Ashwani Gujral of ashwanigujral.com

Sell Bajaj Finance with a stop loss of Rs 2,600, target of Rs 2,450

Sell Maruti Suzuki with a stop loss of Rs 4,700, target of Rs 4,550

Buy Aurobindo Pharma with a stop loss of Rs 385, target of Rs 405

Buy Cipla with a stop loss of Rs 400, target of Rs 425

Buy Jubilant FoodWorks with a stop loss of Rs 1,400, target of Rs 1,455

Sudarshan Sukhani of s2analytics.com

Buy Bharti Airtel with a stop loss of Rs 440, target at Rs 465

Buy Cipla with a stop loss of Rs 400, target at Rs 415

Sell Page Industries with a stop loss of Rs 17,800, target at Rs 16,800

Sell CESC with a stop loss of Rs 396, target at Rs 381

Mitessh Thakkar of mitesshthakkar.com

Sell GAIL with a stop loss of Rs 71, target at Rs 65

Buy Cipla with a stop loss of Rs 400, target at Rs 422

Sell Siemens with a stop loss of Rs 1,060, target at Rs 1,025

Sell Adani Enterprises with a stop loss of Rs 133.5, target at Rs 123

The views and investment tips expressed by investment experts are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.​",https://www.moneycontrol.com/news/business/markets/top-buy-and-sell-ideas-by-ashwani-gujral-sudarshan-sukhani-mitesh-thakkar-for-short-term-66-5085751.html
"March 29, 2020 03:11 PM IST",1,Sunil Matkar,Story in a charts: Cup & Handle pattern suggests buying opportunity in India Cements,"Shabbir KayyumiThe Cup & Handle pattern is believed to be one of the most reliable and popular patterns among traders community.
In technical analysis, a Cup & Handle pattern describes a specific chart formation that projects a bearish-to-bullish trend reversal.
A Cup & Handle reversal pattern forms after a downtrend, and its completion marks a trend reversal to uptrend.
In the standard Cup & Handle pattern, we connect the high after Cup with the high created after the handle.
Cup & Handle pattern and Buy signal on INDIACEM1.",Entire bullish view negates on breaching of Handle on closing basis and one should exit from long position.,"Shabbir Kayyumi

The Cup & Handle pattern is believed to be one of the most reliable and popular patterns among traders community.

In technical analysis, a Cup & Handle pattern describes a specific chart formation that projects a bearish-to-bullish trend reversal. A Cup & Handle reversal pattern forms after a downtrend, and its completion marks a trend reversal to uptrend.

In the standard Cup & Handle pattern, we connect the high after Cup with the high created after the handle. A trend line is drawn by connecting these highest points of the two peaks, which is called as 'Neckline'. This trend line is the most important component of C & H pattern.

Why Buy India Cements?

C & H pattern is an integral part of technical analysis, but successful traders combine these techniques with technical indicators and other forms of technical analysis to maximise their odds of success.

India Cements has a strong resistance line standing around Rs 102 levels indicating strong bullish breakout only above these levels. The recent formation of Cup and Handle pattern will give a breakout on a close above Rs 102 mark which suggests buying in the stock for higher targets of Rs 122. Volume can also add further insight while trading these patterns. Decent volume participation while giving breakout is also giving support to C & H pattern.

Figure.1. Cup & Handle pattern and Buy signal on INDIACEM

1. A close above neckline (Rs 102) of Cup & Handle pattern is indicating a trend reversal.2. Short- term moving average 20 DMA (Rs 99.50), which defines short-term trend, is providing support to buyers as prices are sustained and trading above it.3. Mid- term moving average 50 DMA (Rs 96.15), which defines mid-term trend, augurs well with the bulls as prices are sustained and trading above it.

4. Decent volume participation while pattern breakout will also give additional confirmation.

Profit Booking

Target as per Cup & Handle pattern is calculated by adding the height of Cup to the neckline which comes to Rs 122, however one can book profits near previous swing high which is around Rs 120.

Stop Loss

Entire bullish view negates on breaching of Handle on a closing basis and one should exit from a long position. In the case of India Cements, it is placed around Rs 89 levels.

Conclusion

We recommend buying The India Cements above Rs 102 with a stop loss of Rs 89 for higher targets of Rs 122 as indicated in the above chart.

(The author is Head - Technical Research at Narnolia Financial Advisors.)

Disclosure: Narnolia Financial Advisors/Analyst (s) does/do not have any holding in the stocks discussed but these stocks may have been recommended to clients in the past. Clients of Narnolia Financial Advisors Ltd. may be holding aforesaid stocks. The stocks recommended are based on our analysis which is based on information obtained from public sources and sources believed to be reliable, but no independent verification has been made nor is its accuracy or completeness guaranteed. The views expressed in this research report accurately reflect the personal views of the analyst(s) about the subject securities or issues, and no part of the compensation of the research analyst(s) was, is, or will be directly or indirectly related to the specific recommendations and views expressed by research analyst(s) in this report.

: The views and investment tips expressed by investment expert on Moneycontrol.com are his own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/story-in-a-charts-cup-handle-pattern-suggests-buying-opportunity-in-india-cements-5084391.html
