,time,Label,author,title,summary,description,article_text,url
0,"April 13, 2020 12:04 PM IST",1,Sunil Matkar,Max Financial gains 5% on Max Life extending insurance partnership with Yes Bank,"Max Financial Services share price rallied 4.7 percent intraday on April 13 after its insurance subsidiary extended five-year bancassurance partnership with private sector lender Yes Bank.
It was trading at Rs 363.75, up Rs 11.70, or 3.32 percent, on the BSE at 1138 hours.
""Max Life Insurance and Yes Bank announced a five-year extension to their strategic bancassurance relationship.
The companies began their partnership in February 2005, with a core commitment towards securing the financial future of their customers.
The partnership has settled death claims of more than Rs 70 crore, and offered protection worth around Rs 34,500 crore to policyholders and their families.",Max Life-Yes Bank relationship has over the years sold approximately 2.8 lakh policies.,"Max Financial Services share price rallied 4.7 percent intraday on April 13 after its insurance subsidiary extended five-year bancassurance partnership with private sector lender Yes Bank.

The stock has rallied nearly 28 percent since March 23 but before that it corrected 52 percent since March 5. It was trading at Rs 363.75, up Rs 11.70, or 3.32 percent, on the BSE at 1138 hours.

""Max Life Insurance and Yes Bank announced a five-year extension to their strategic bancassurance relationship. Through this renewal of their bancassurance partnership both the companies have reaffirmed their commitment to invest in building a digitally enabled ecosystem that will provide a seamless experience for customers in their financial planning and protection journey,"" the company said in its BSE filing.

To commemorate the extension of the partnership for another five years, the companies will dedicate the current financial year as the ‘Year of the Customer’ with sharper focus on customer obsession, it added.

""In the coming five years, we plan to further enhance our business and make investments in the area of technology, new product development, and customer service to ensure we journey together to help our customers realise their real value and financially protect their future,"" Prashant Tripathy, Managing Director & CEO, Max Life said.

The companies began their partnership in February 2005, with a core commitment towards securing the financial future of their customers.

Max Life-Yes Bank relationship has over the years sold approximately 2.8 lakh policies. The partnership has settled death claims of more than Rs 70 crore, and offered protection worth around Rs 34,500 crore to policyholders and their families.",https://www.moneycontrol.com/news/business/markets/max-financial-gains-5-on-max-life-extending-insurance-partnership-with-yes-bank-5138311.html
1,"April 13, 2020 08:55 PM IST",0,Kshitij Anand,Looking to invest in US market? Subscription for Motilal Oswal S&P 500 Index Fund opens tomorrow,"On April 13, the company announced the launch of the Motilal Oswal S&P 500® Index Fund, an open-ended scheme replicating/tracking the S&P 500® Index.
Motilal Oswal S&P 500® Index Fund will open for subscription on April 15 and will close on April 23.
Motilal Oswal S&P 500 Index Fund will provide Indian investors the opportunity to partake in the performance of leading 500 companies listed in the US, the company said.
The S&P 500 Index is widely regarded as the best single gauge of largecap US equities and covers approximately 80 percent of the available market.
Close The S&P 500 Index is the world's largest index with a track record of 63 years, making it one of the oldest indices in the world.",Motilal Oswal S&P 500® Index Fund will open for subscription on April 15 and will close on April 23,"If you wish to invest in companies based out of the US are looking to diversify your portfolio, then do check out the latest launch by Motilal Oswal Asset Management Company. On April 13, the company announced the launch of the Motilal Oswal S&P 500® Index Fund, an open-ended scheme replicating/tracking the S&P 500® Index.

Motilal Oswal S&P 500® Index Fund will open for subscription on April 15 and will close on April 23.

The minimum application amount is Rs 500 and in multiples of Re 1 thereafter. The fund managers for this scheme are Herin Visaria for foreign securities and Abhiroop Mukherjee for the debt component.

Motilal Oswal S&P 500 Index Fund will provide Indian investors the opportunity to partake in the performance of leading 500 companies listed in the US, the company said. The S&P 500 Index is widely regarded as the best single gauge of largecap US equities and covers approximately 80 percent of the available market. Some of the big-ticket companies which are part of the index include names like Microsoft, Apple, Amazon, Facebook, J&J, Visa, Alphabet (Google), among others. Close The S&P 500 Index is the world’s largest index with a track record of 63 years, making it one of the oldest indices in the world. related news Wall Street tumbles as investors brace for dour earnings

Rupee settles on flat note at 76.27 against US dollar

“If you entered the Indian equity markets and you had no clue where to start you would start with the A group in BSE. Similarly, if you entered the global equity markets from another planet and you had no clue where to start you would start with S&P 500. It’s the world’s A group or the world’s largecap index composed of some of the biggest global companies,” Aashish Somaiyaa, Managing Director & CEO, Motilal Oswal Asset Management Company, explained.",https://www.moneycontrol.com/news/business/markets/looking-invest-in-the-us-market-motilal-oswal-launches-s-nfo-open-till-april-15-5139871.html
2,"April 13, 2020 01:14 PM IST",0,Kshitij Anand,"Timing the market is not possible, but investors could look at buying index funds","The choice of stocks vs mutual funds is always an individual choice.
I will advise buying the Index fund right now, Satish Kumar, Head of Equities, Equirus Securities, said in an interview with Moneycontrol’s Kshitij Anand.
Edited excerpt:Q) What would you advise – lump sum or staggered approach in direct equities or mutual funds?
A) Timing the market is not possible.
The choice of stocks versus mutual funds is always an individual choice.","Timing the market is not possible. However, at this juncture, it is better to have a staggered approach. The choice of stocks vs mutual funds is always an individual choice. I will advise buying the Index fund right now.","Timing the market is not possible. However, at this juncture, it is better to have a staggered approach. The choice of stocks vs mutual funds is always an individual choice. I will advise buying the Index fund right now, Satish Kumar, Head of Equities, Equirus Securities, said in an interview with Moneycontrol’s Kshitij Anand.

Edited excerpt:

Q) What would you advise – lump sum or staggered approach in direct equities or mutual funds?

A) Timing the market is not possible. However, at this juncture, it is better to have a staggered approach. The choice of stocks versus mutual funds is always an individual choice. I will advise buying the index fund right now.

Q) We have already seen a big casualty in the form of IndiaNivesh Securities broking arm shutting down the operations. Do you think this could just be the starting?

A) The broking industry will see more casualties in the near future.

Q) Where are the hotspots in terms of investment in the current scenario?

A) Right now the stock prices have no meaning as investors are trying to price their worst nightmares. So pinpointing what will go down because of the fundamental reason is futile.

Hotspot test is simple from now on (i.e. if markets fall further) higher the FII holding higher the correction.

Q) What is you take on the ESG sector? Could they turn out to be big winners once COVID-19 crisis is over?

A) It’s a fad and like all fad, it will also be over pretty soon. No company can survive which doesn’t care from its customers or employees. Social impact well that’s debatable.

I can argue that even carmakers are not ESG compliant (because they make a car which causes pollution) why to single out only tobacco or fossil fuel companies.

Q) With the starting of April we also start a new financial year – what are your expectations from the FY21? What are your views on earnings, markets, flows, as well as demand?

A) Excel extrapolation is a simple job and as an analyst, I am also forced to do it. However, as of now, no one knows what will be the earnings growth or decline.

One can pick any number as per one’s convenience. Market flows will remain muted until market recovers by 20 percent then we can start seeing some flows back to the market

Q) Once the lockdown is over and we (the whole world) come out of COVID-19 - what will be the new normal which the world will be looking at in investments, insurance, food habits, consumption etc.?

A) Human beings are extremely resilient and have the habit of forgetting the painful past. While for some months one may wear masks and maintain social distance; however, the fatigue of changing ingrained habits will be too much.

Moreover, please remember at worst, it will take 12-18 months for vaccine and then we will be back to basics in no time.

Q) We have seen massive wealth erosion in most of the top-quality stocks in FY20, and as we step into FY21 some of those names could give multibagger returns if someone is investing in them now. Could you highlight 3-5 such stocks that hold that potential?

A) Multi bagger we don’t know - getting 2X, 3x returns requires patience and a hell lot of it. For the next 12 months scenario we like large caps. Our picks are HDFC Bank, ICICI Bank, Britannia, PI Industries, Ultratech, and Siemens.

Q) Any particular sector(s) which investors should go underweight on at least for the next year or in the current FY?

A) May be where the mass gathering is required like malls cinema halls. What I mean here that one can be underweight sectors like Retail, airlines, etc.

As I said earlier for some months people will remain cautious and during that period P&L of many companies will take deep hit. Having said that, during the P&L hit these companies will give excellent buying opportunities.

: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/timing-the-market-is-not-possible-but-investors-could-look-at-buying-index-funds-5135111.html
3,"April 13, 2020 02:34 PM IST",-2,Nishant Kumar,"Zee Entertainment share price plunges 14%, looks on course to snap 4-day winning run","Zee Entertainment share price plunged over 14 percent in intraday trade on BSE on April 13 and looked on course to break its winning streak of the last four consecutive sessions.
Zee had acquired an 80 percent equity stake in Margo Networks Private Limited (“SugarBox”) in 2017.
Now, Zee will invest Rs 522 crore in its arm, Margo Networks Pvt Ltd, which offers content distribution services under 'SugarBox' brand that empowers users without an active internet connection to use mobile apps.
ZEEL will provide operational support, including through providing performance and corporate guarantees as appropriate and necessary, and has authorised SugarBox to finalise the terms of 10 years contract with RailTel Corporation of India Ltd, it added.
Shares of Zee Entertainment were trading 10.50 percent down at Rs 134.20 on BSE at 1415 hours.",The company will extend financial and operational support to SugarBox in which Zee acquired an 80 percent stake in 2017.,"Zee Entertainment share price plunged over 14 percent in intraday trade on BSE on April 13 and looked on course to break its winning streak of the last four consecutive sessions.

In a BSE filing on April 9, the company said that the board at a meeting held a day earlier agreed to extend financial and operational support to SugarBox, a company in which Zee acquired 80 percent stake in 2017.

Zee had acquired an 80 percent equity stake in Margo Networks Private Limited (“SugarBox”) in 2017. As per the regulatory filing, this investment was made to exploit synergies of the technology developed by SugarBox with the company's business and to significantly augment the digital content consumption.

Now, Zee will invest Rs 522 crore in its arm, Margo Networks Pvt Ltd, which offers content distribution services under 'SugarBox' brand that empowers users without an active internet connection to use mobile apps.

ZEEL will provide operational support, including through providing performance and corporate guarantees as appropriate and necessary, and has authorised SugarBox to finalise the terms of 10 years contract with RailTel Corporation of India Ltd, it added.

Shares of Zee Entertainment were trading 10.50 percent down at Rs 134.20 on BSE at 1415 hours.",https://www.moneycontrol.com/news/business/markets/zee-entertainment-share-price-plunges-14-looks-on-course-to-snap-4-day-winning-run-5137941.html
4,"April 13, 2020 11:45 AM IST",-1,Sunil Matkar,"Bandhan Bank share price slips 10% despite strong growth in Q4 advances, deposits","Bandhan Bank share price fell nearly 10 percent intraday on April 13 despite the private lender posting strong growth in Q4 advances and deposits.
""Retail deposits increased 34 percent to Rs 44,760 crore year-on-year and CASA deposits jumped 19 percent to Rs 21,028 crore compared to the same period last year,"" Bandhan Bank said.
""Total overdue (0+ dpd) as on March 31, 2020 was lower than December 31, 2019.
Further, deposits from microbanking customers continues to be strong and stable despite three weeks of lockdown,"" it said.
Bandhan Bank has liquidity coverage ratio (LCR) of around 161 percent as of March 31, 2020.",The capital adequacy ratio of the bank at the end of March 2020 stood at around 26.7 percent and Tier 1 Common Capital Ratio ratio at around 25.5 percent.,"Bandhan Bank share price fell nearly 10 percent intraday on April 13 despite the private lender posting strong growth in Q4 advances and deposits.

The stock has tanked 59 percent in e last two months amid global selloff driven by the coronavirus crisis. It was trading at Rs 179.45, down Rs 12.85, or 6.68 percent, on the BSE at 1057 hours.

Loans and advances grew by 60 percent year-on-year (up 10 percent QoQ) to approximately Rs 71,825 crore, while deposits increased by 32 percent on yearly basis (up 4 percent QoQ) to approximately Rs 57,073 crore in the quarter ended March 2020.

""Retail deposits increased 34 percent to Rs 44,760 crore year-on-year and CASA deposits jumped 19 percent to Rs 21,028 crore compared to the same period last year,"" Bandhan Bank said. The numbers included merged entity.

On its microbanking business, the bank said its collection efficiency for the country from January 1, 2020 to March 21, 2020 stood at around 98.7 percent.

For the remaining days of the quarter, the government announced a 21-day nationwide lockdown from March 25. and some states activated lockdown in the weekend of March 22-23.

""Total overdue (0+ dpd) as on March 31, 2020 was lower than December 31, 2019. Further, deposits from microbanking customers continues to be strong and stable despite three weeks of lockdown,"" it said.

Bandhan Bank has liquidity coverage ratio (LCR) of around 161 percent as of March 31, 2020. ""As on March 31, the bank was having excess liquidity amounting to around Rs 8,402 crore. In addition to above, the bank is in a position to draw up to around Rs 1,815 crore under MSF (marginal standing facility) of RBI,"" it said.

Capital adequacy ratio of the bank at the end of March 2020 stood at around 26.7 percent and Tier 1 Common Capital Ratio (CET 1) ratio at around 25.5 percent.

""The numbers mentioned above as on March 31, 2020 are provisional unaudited numbers and is subject to review by the audit committee and board of directors and are also subject to audit by the statutory auditors of the bank,"" Bandhan Bank said in its BSE filing.",https://www.moneycontrol.com/news/business/markets/bandhan-bank-share-price-slips-10-despite-strong-growth-in-q4-advances-deposits-5138201.html
5,"April 13, 2020 12:07 PM IST",1,Sandip Das,Cadila Healthcare shares rise 2% on USFDA nod to market diabetes drug,"Share price of Cadila Healthcare was up over 2 percent intraday on April 13 after the company received a tentative nod from the USFDA to market generic Empagliflozin tablets, used for the improvement of blood sugar control in adults with type 2 diabetes in the US market.
Catch All Market Live Updates HereZydus Cadila has received tentative approval from the USFDA to market Empagliflozin Tablets, in the strengths of 10 mg and 25 mg (US RLD: Jardiance Tablets), the company said in a filing to the exchanges.
The medication is used together with diet and exercise to improve blood sugar control in adults with Type 2 diabetes mellitus.
It is also used to reduce the risk of cardiovascular death in adult patients with Type 2 diabetes mellitus and established cardiovascular disease.
It has touched an intraday high of Rs 365.95 and an intraday low of Rs 352.","Zydus Cadila has received tentative approval from the USFDA to market Empagliflozin Tablets, in the strengths of 10 mg and 25 mg (US RLD: Jardiance Tablets), the company said in a filing to the exchanges","Share price of Cadila Healthcare was up over 2 percent intraday on April 13 after the company received a tentative nod from the USFDA to market generic Empagliflozin tablets, used for the improvement of blood sugar control in adults with type 2 diabetes in the US market.

Catch All Market Live Updates Here

Zydus Cadila has received tentative approval from the USFDA to market Empagliflozin Tablets, in the strengths of 10 mg and 25 mg (US RLD: Jardiance Tablets), the company said in a filing to the exchanges.

The medication is used together with diet and exercise to improve blood sugar control in adults with Type 2 diabetes mellitus. It is also used to reduce the risk of cardiovascular death in adult patients with Type 2 diabetes mellitus and established cardiovascular disease. The drug will be manufactured at the group’s manufacturing facility at SEZ, Ahmedabad, the company said.

The share price surged over 40 percent in the last 1 month and was quoting at Rs 359.40, up Rs 8.70, or 2.48 percent. It has touched an intraday high of Rs 365.95 and an intraday low of Rs 352.

The stock witnessed a spurt in volume by more than 1.23 times and was trading with volumes of 545,439 shares, compared to its five day average of 664,231 shares, a decrease of -17.88 percent.",https://www.moneycontrol.com/news/business/stocks/cadila-healthcare-shares-rise-2-on-usfda-nod-to-market-diabetes-drug-5138351.html
6,"April 14, 2020 10:05 AM IST",0,Kshitij Anand,This Radhakishan Damani-owned stock might be down but not out; experts suggest buy on dips,"""Nearly 50 percent of our stores remain closed for operations based on a directive by the local authorities,"" it said in a statement.
The announcement of the closure of about 50 percent of the D-Mart stores is a near-term shock.
The ones who have bought the stock should hold on, while new investors could wait for a dip before accumulating, suggest experts.
“We expect more than 20 percent growth in D-Mart in the next 2-3 years horizon on strong growth store expansion.
Strong growth momentum will drive performance,” Amarjeet Maurya, AVP Research at Angel Broking Ltd told Moneycontrol.","For investors who are holding the stock should hold on to the stock, and keep accumulating the stock on every dip, because D-mart has a unique business model.","Veteran stock market investor Radhakishan Damani-led Avenue Supermarts was locked in a lower circuit on Monday after the company, which operates retail chain DMart, said operations of half of its stores are closed following the directions issued by authorities amid the lockdown.

The company is retailing only essential items from the operating stores and average footfall is ""significantly lower than usual"".

""Nearly 50 percent of our stores remain closed for operations based on a directive by the local authorities,"" it said in a statement.

D-Mart also commenced e-commerce home delivery and bulk deliveries to large housing complexes across the majority of its stores during the first week of April.

The stock has rallied about 24 percent so far in 2020 despite steep fall seen in the benchmark indices. Both Sensex and Nifty50 are in a bear market and are trading near crucial support levels.

The announcement of the closure of about 50 percent of the D-Mart stores is a near-term shock. Experts feel that it doesn’t alter the long-term outlook of the company. The ones who have bought the stock should hold on, while new investors could wait for a dip before accumulating, suggest experts.

“We expect more than 20 percent growth in D-Mart in the next 2-3 years horizon on strong growth store expansion. The average growth expansion is 24-25 stores per year. But, in the future, management is likely to change the strategy which could lead to additions of 30 stores per year. Strong growth momentum will drive performance,” Amarjeet Maurya, AVP Research at Angel Broking Ltd told Moneycontrol.

“Also, since inception, they have not closed any single story. They also sell the product which is cheaper than e-retail websites. Hence, growth is likely to continue.",https://www.moneycontrol.com/news/business/markets/avenue-supermarts-this-radhakishan-damani-owned-stock-might-be-down-but-not-out-experts-suggest-buy-on-dips-5139551.html
7,"April 13, 2020 12:39 PM IST",0,Kshitij Anand,‘Allocate 30%-40% of investable corpus now at the current levels and rest on declines',"For those looking to build a fresh portfolio, we would suggest allocating 30-40 percent of their investable corpus at the current levels and wait for further correction or clarity over the market direction.
A) Given the current situation, few essential consumer products and healthcare products are in high demand as it helps consumers to sail through difficult times.
In the current situation, investors can accumulate stocks from these sectors in a staggered manner for the long term.
Amid all, we believe there are quite a few top names that are trading either close to or below their historical average P/E and provide a margin of safety at current levels.
Q) Any particular sector(s) which investors should go underweight on at least for the next year or in the current FY?","In our opinion, it is an excellent time to build a long term portfolio as many fundamentally sound counters are available at a good bargain, says Gurpreet Sidana.","For those looking to build a fresh portfolio, we would suggest allocating 30-40 percent of their investable corpus at the current levels and wait for further correction or clarity over the market direction, Gurpreet Sidana, Chief Operating Officer, Religare Broking Ltd, said in an interview with Moneycontrol’s Kshitij Anand.

edited excerpts:

A) It is a tough situation, not only for the Indian economy but for the markets across the globe. It’s different from earlier downturns as it is triggered by a pandemic and the exact impact or peak can’t be quantified yet.

However, this is also true that the market emerges much stronger and garners exceptional returns for those who utilise these corrections to accumulate quality companies with a long-term investment horizon.

Maybe a first-timer is still contemplating over his investment plan but a smart investor knows this well and will thus try to exploit this opportunity.

Now, coming to the choice of instrument or mode of investment, it is completely personal, depending on the risk profile of the individual.

In our opinion, it is an excellent time to build a long term portfolio as many fundamentally sound counters are available at a good bargain.

At the same time, you may let your mutual fund SIP running, to take advantage of averaging at lower levels. For those looking to build a fresh portfolio, we would suggest allocating 30-40 percent of their investable corpus at the current levels and wait for further correction or clarity over the market direction.

Q) We have already seen a big casualty in the form of IndiaNivesh Securities broking arm shutting down the operations. Do you think this could just be the starting?

Pharma, FMCG and private bank stocks are preferred bets while SIP in largecap funds and sectoral funds (beaten-down sectors such as Auto, Banks, and Oil & Gas) are advisable.

A) Undoubtedly, the current times are challenging and businesses across levels are feeling the heat. Profitability will get hit in these tough times and I am sure most businesses are searching for a way to stay afloat.

In line with the others, some of the brokerage firms, which were already in financial stress, are worst hit due to liquidity crunch after COVID -19 lockdown.

Q) A lot has been said about COVID-19 hotspots – but where are the hotspots in terms of investment in the current scenario?

But, I do not see the situation being so grim. We see most of the leading players are on course the journey of transformation and the lockdown period is only helping to cover the distance fast. However, consolidation in the industry is inevitable as there isn’t enough space for too many players.

A) Given the current situation, few essential consumer products and healthcare products are in high demand as it helps consumers to sail through difficult times. Both FMCG and healthcare sectors are hotspots wherein consistent buying is seen amid coronavirus scare.

We believe these two defensive sectors are safe bets in such volatile markets. Although these sectors are also facing challenges due to lockdown wherein factories are either closed or working with less manpower and supply chains have been hit.

Q) What is your take on the ESG sector? Do you think companies in the ESG space could get attention?

However, once things begin to recover, there is a likelihood that these sectors would witness a stronger demand for essential items. In the current situation, investors can accumulate stocks from these sectors in a staggered manner for the long term.

A) The ESG space companies take into account the non-financial performance indicators that include environmental, social and corporate governance factors.

These parameters are usually used by socially conscious investors to screen securities to invest. It may offer a potential long-term performance advantage when integrated into investment analysis and portfolio construction.

Q) What is your expectations from the FY21? What are your views on earnings, markets, flows, as well as demand?

In India, the ESG based investing is not as big as compared to some of the developed countries. And, companies following the ESG matrix would also face the brunt of a slowdown and that would impact their earnings trajectory. However, their recovery could be comparatively stronger once we see the revival of the economy.

A) We do not expect a very promising start for FY21 as we are still grappling with the pandemic which has hit economic activity across the globe. We believe Q1 of FY21E will be majorly impacted by the nationwide lockdown, which will lead to earnings downgrade for most of the companies.

Also, FIIs may continue to be net sellers if the situation does not improve in the coming days. Adding to the worries, if the virus spread intensifies further or continues for longer than excepted, it could also induce redemption pressure and that in turn would trigger selling from the DIIs as well.

Nevertheless, Nifty P/E now hovers around its historical average, which provides a good investment opportunity and the past trend suggests that every major fall is followed by a strong rebound in the markets.

Q) In the post-COVID-19 world, what will be the new normal which the world will be looking at in investments, insurance, food habits, consumption, etc.?

Hence, as and when the coronavirus cases start receding, we could see a gradual recovery in demand and pick up in the economy, which would lead to an increase in fund flows to the markets.

A) We may see investors taking the concept of valuation more seriously and plan their future investments accordingly. Also, they might have realised by now the importance of having defensive stocks in their portfolio as a hedge, to sail through the tough time.

Further, the unexpected rise in cases of coronavirus only reinstates the fact that insurance is a necessity and not a discretionary spend and therefore we could see an increase in insurance penetration in India.

Additionally, the consumption would pick up. However, it would be gradual especially for discretionary goods and services.

Q) We have seen massive wealth erosion in most of the top-quality stocks in FY20, and as we step into FY21 some of those names could give multibagger returns if someone is investing in them now. Could you highlight 3-5 such stocks that hold that potential?

A) The Indian markets have corrected sharply from their peaks and we have seen massive wealth erosion in most of the top-quality stocks as growth and earnings for FY21E are expected to get adversely impacted.

Also, with a change in the market dynamics, we could see a change in the sectoral allocation by the fund managers to stay relevant.

Amid all, we believe there are quite a few top names that are trading either close to or below their historical average P/E and provide a margin of safety at current levels.

We recommend accumulating stocks like ICICI Bank, Hindustan Unilever (HUL), Cipla, Reliance Industries and HDFC Life Insurance gradually for healthy long term gains.

Q) Any particular sector(s) which investors should go underweight on at least for the next year or in the current FY?

A) Among the sectors, PSU Banking, metal, realty and auto are affected more by the virus-led economic disruption and thus recovery in these sectors will be gradual.

We would advise investors to stay away from these sectors (at least for the next 2 quarters) or take selective bets until there are meaningful signs of revival.

On the flip side, we are overweight on FMCG, pharma and selective names in private banking as they are already witnessing buying interest or showing resilience at the higher levels and would rebound faster once the economy recovers.

Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.",https://www.moneycontrol.com/news/business/markets/allocate-30-40-of-investable-corpus-now-at-the-current-levels-and-rest-on-declines-5135561.html
8,"April 13, 2020 01:33 PM IST",2,Sunil Matkar,Indoco Remedies surges 16% as it ships Paracetamol tablets to UK,"Shares of Indoco Remedies rallied nearly 16 percent intraday on April 13 after the company delivered the first shipment of Paracetamol tablets to the UK.
The company informed exchanges that it has been part of the great initiative by the Indian government to export Paracetamol tablets to the UK in its fight against COVID-19.
""The first shipment of 11.70 lakh Paracetamol tablets to the UK was airlifted on April 12 from Goa airport,"" the company said in its BSE filing.
Paracetamol tablets are used for the treatment of pain and fever.
Catch All Market Live Updates HereThe permission granted by the Indian Government is for a total air shipment of 4.48 crore tablets.",The permission granted by the Indian Government is for a total air shipment of 4.48 crore tablets.,"Shares of Indoco Remedies rallied nearly 16 percent intraday on April 13 after the company delivered the first shipment of Paracetamol tablets to the UK.

The entire pharma sector has been gaining more traction than other sectors since the government allowed exports of anti-malarial and other drugs that are used in the treatment of COVID-19 patients.

Indoco itself surged more than 83 percent in nearly three weeks. It was quoting at Rs 260.25, up Rs 14.10 or 5.73 percent on the BSE, at 1307 hours IST.

The company informed exchanges that it has been part of the great initiative by the Indian government to export Paracetamol tablets to the UK in its fight against COVID-19.

""The first shipment of 11.70 lakh Paracetamol tablets to the UK was airlifted on April 12 from Goa airport,"" the company said in its BSE filing.

Paracetamol tablets are used for the treatment of pain and fever.

Catch All Market Live Updates Here

The permission granted by the Indian Government is for a total air shipment of 4.48 crore tablets. ""The remaining quantity is ready for shipment and will be airlifted depending on availability of flights,"" it said.",https://www.moneycontrol.com/news/business/markets/indoco-remedies-surges-16-as-it-ships-paracetamol-tablets-to-uk-5138901.html
9,"April 13, 2020 12:21 PM IST",2,Sunil Matkar,GPT Infraprojects jumps 20% on road-widening order in Manipur,"GPT Infraprojects share price rallied 20 percent intraday on April 13 after the company received a Rs 114.68-crore road-widening order in Manipur.
The stock has consistently been in an uptrend from last week, rising 55 percent so far since.
It was quoting at Rs 21.45, up Rs 3.46 or 19.23 percent, on the BSE at 1154 hours.
The order, valued at Rs 114.68 crore, was received from the National Highways & Infrastructure Development Corporation, Ministry of Road Transport & Highways, Government of India, New Delhi, it added.
Catch All Market Live Updates HereThe company has Rs 1,650-crore orders, including a cumulative order inflow of Rs 114.68 crore, in the current financial year.","The company has orders worth Rs 1,650-crore, including a cumulative order inflow of Rs 1,14.68 crore, in the current financial year.","GPT Infraprojects share price rallied 20 percent intraday on April 13 after the company received a Rs 114.68-crore road-widening order in Manipur.

The stock has consistently been in an uptrend from last week, rising 55 percent so far since. It was quoting at Rs 21.45, up Rs 3.46 or 19.23 percent, on the BSE at 1154 hours.

""We bagged a contract of widening to two lanes with hard shoulder of Churachandpur to Tuivai section of NH 102B (package 4A) in Manipur on EPC mode,"" the flagship company of GPT Group said in its BSE filing.

The order, valued at Rs 114.68 crore, was received from the National Highways & Infrastructure Development Corporation, Ministry of Road Transport & Highways, Government of India, New Delhi, it added.

Catch All Market Live Updates Here

The company has Rs 1,650-crore orders, including a cumulative order inflow of Rs 114.68 crore, in the current financial year.",https://www.moneycontrol.com/news/business/markets/gpt-infraprojects-jumps-20-on-road-widening-order-in-manipur-5138361.html
